Na1=E0*P*D1,Na2=Er1*k1*M1*Q*D3,Na3=-Er1*k1*M1*Q*D2,Na4=Cero,Na5=Cero,Na6=Cero,Na7=Cero,Na8=Cero,Na9=Cero,Na10=Cero,Na11=Cero,Na12=Cero,Na13=Cero,Na14=Cero,Na15=Cero
Nb1=k2*M1T,Nb2=-Uno,Nb3=Uno,Nb4=Cero,Nb5=Cero,Nb6=Cero,Nb7=Cero,Nb8=Cero,Nb9=Cero,Nb10=Cero,Nb11=Cero,Nb12=Cero,Nb13=Cero,Nb14=Cero,Nb15=Cero
Nc1=Cero,Nc2=Er1*Q*D3,Nc3=Er1*Q*D2,Nc4=E0*k2*M2*Q*D5,Nc5=-E0*k2*M2*Q*D4,Nc6=Cero,Nc7=Cero,Nc8=Cero,Nc9=Cero,Nc10=Cero,Nc11=Cero,Nc12=Cero,Nc13=Cero,Nc14=Cero,Nc15=Cero
Nd1=Cero,Nd2=k7*Uno,Nd3=k7*Uno,Nd4=-M2,Nd5=M2,Nd6=Cero,Nd7=Cero,Nd8=Cero,Nd9=Cero,Nd10=Cero,Nd11=Cero,Nd12=Cero,Nd13=Cero,Nd14=Cero,Nd15=Cero
Ne1=Cero,Ne2=Cero,Ne3=Cero,Ne4=E0*k1*M3*Q*D5,Ne5=E0*k1*M3*Q*D4,Ne6=Er2*P*D7,Ne7=-Er2*P*D6,Ne8=Cero,Ne9=Cero,Ne10=Cero,Ne11=Cero,Ne12=Cero,Ne13=Cero,Ne14=Cero,Ne15=Cero
Nf1=Cero,Nf2=Cero,Nf3=Cero,Nf4=k7*Uno,Nf5=k7*Uno,Nf6=-M3T,Nf7=M3T,Nf8=Cero,Nf9=Cero,Nf10=Cero,Nf11=Cero,Nf12=Cero,Nf13=Cero,Nf14=Cero,Nf15=Cero
Ng1=Cero,Ng2=Cero,Ng3=Cero,Ng4=Cero,Ng5=Cero,Ng6=M1T,Ng7=M1T,Ng8=-k7*Uno,Ng9=k7*Uno,Ng10=Cero,Ng11=Cero,Ng12=Cero,Ng13=Cero,Ng14=Cero,Ng15=Cero
Nh1=Cero,Nh2=Cero,Nh3=Cero,Nh4=Cero,Nh5=Cero,Nh6=Er2*P*D7,Nh7=Er2*P*D6,Nh8=E0*k1*M1*Q*D9,Nh9=-E0*k1*M1*Q*D8,Nh10=Cero,Nh11=Cero,Nh12=Cero,Nh13=Cero,Nh14=Cero,Nh15=Cero
Ni1=Cero,Ni2=Cero,Ni3=Cero,Ni4=Cero,Ni5=Cero,Ni6=Cero,Ni7=Cero,Ni8=E0*k3*M4*Q*D9,Ni9=E0*k3*M4*Q*D8,Ni10=Cero,Ni11=Er3*W*D10,Ni12=Cero,Ni13=Cero,Ni14=Cero,Ni15=Cero
Nj1=Cero,Nj2=Cero,Nj3=Cero,Nj4=Cero,Nj5=Cero,Nj6=Cero,Nj7=Cero,Nj8=Cero,Nj9=Cero,Nj10=E0*R*D13,Nj11=Cero,Nj12=Cero,Nj13=Cero,Nj14=Cero,Nj15=Er4*k5*M6*U*D14
Nk1=Cero,Nk2=Cero,Nk3=Cero,Nk4=Cero,Nk5=Cero,Nk6=Cero,Nk7=Cero,Nk8=k7*Uno,Nk9=k7*Uno,Nk10=Cero,Nk11=-M1T,Nk12=Cero,Nk13=-M5T,Nk14=M5T,Nk15=Cero
Nl1=Cero,Nl2=Cero,Nl3=Cero,Nl4=Cero,Nl5=Cero,Nl6=Cero,Nl7=Cero,Nl8=Cero,Nl9=Cero,Nl10=Cero,Nl11=Cero,Nl12=E0*Z*D15,Nl13=Cero,Nl14=Cero,Nl15=Er4*k6*M7*U*D14
Nm1=Cero,Nm2=Cero,Nm3=Cero,Nm4=Cero,Nm5=Cero,Nm6=Cero,Nm7=Cero,Nm8=k4*M5*Q*D9,Nm9=k4*M5*Q*D8,Nm10=Cero,Nm11=Cero,Nm12=Cero,Nm13=T*D12,Nm14=-T*D11,Nm15=Cero
Nn1=Cero,Nn2=Cero,Nn3=Cero,Nn4=Cero,Nn5=Cero,Nn6=Cero,Nn7=Cero,Nn8=Cero,Nn9=Cero,Nn10=M6T,Nn11=Cero,Nn12=M7T,Nn13=M8T,Nn14=M8T,Nn15=-k7*Uno
No1=Cero,No2=Cero,No3=Cero,No4=Cero,No5=Cero,No6=Cero,No7=Cero,No8=Cero,No9=Cero,No10=Cero,No11=Cero,No12=Cero,No13=E0*T*D12,No14=E0*T*D11,No15=Er4*k4*M8*U*D14
